Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
5.4164e+03 -4.4469e-01 -1.0691e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4886e+03 -5.4966e-01 -4.6622e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5608e+03 -6.4526e-01 2.9836e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6331e+03 -7.2467e-01 1.2133e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7053e+03 -7.8135e-01 2.2565e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7775e+03 -8.0963e-01 3.3952e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8497e+03 -8.0522e-01 4.5873e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9219e+03 -7.6566e-01 5.7831e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9942e+03 -6.9064e-01 6.9286e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0664e+03 -5.8217e-01 7.9685e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1386e+03 -4.4456e-01 8.8502e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2108e+03 -2.8415e-01 9.5273e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2830e+03 -1.0894e-01 9.9632e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3552e+03 7.1991e-02 1.0134e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4275e+03 2.4914e-01 1.0030e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4997e+03 4.1328e-01 9.6568e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5719e+03 5.5615e-01 9.0346e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6441e+03 6.7101e-01 8.1968e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7163e+03 7.5313e-01 7.1876e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7886e+03 8.0001e-01 6.0586e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8608e+03 8.1150e-01 4.8650e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9330e+03 7.8963e-01 3.6620e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0052e+03 7.3835e-01 2.5010e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0774e+03 6.6309e-01 1.4268e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.1497e+03 5.7025e-01 4.7504e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.2219e+03 4.6665e-01 -3.2921e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.2941e+03 3.5899e-01 -9.7177e-02 0.0000e+00 -1.6925e-120 0.0000e+00 0.0000e+00
7.3663e+03 2.5340e-01 -1.4491e-01 -1.4104e-121 -2.5500e-118 0.0000e+00 0.0000e+00
7.4385e+03 1.5507e-01 -1.7673e-01 -2.0310e-119 -1.9467e-116 0.0000e+00 0.0000e+00
7.5107e+03 6.8006e-02 -1.9400e-01 -1.4772e-117 -1.0041e-114 0.0000e+00 0.0000e+00
7.5830e+03 -5.0890e-03 -1.9870e-01 -7.2385e-116 -3.9367e-113 0.0000e+00 0.0000e+00
7.6552e+03 -6.2812e-02 -1.9313e-01 -2.6891e-114 -1.2512e-111 0.0000e+00 0.0000e+00
7.7274e+03 -1.0495e-01 -1.7978e-01 -8.0809e-113 -3.3576e-110 0.0000e+00 0.0000e+00
7.7996e+03 -1.3232e-01 -1.6105e-01 -2.0463e-111 -7.8218e-109 0.0000e+00 0.0000e+00
7.8718e+03 -1.4648e-01 -1.3920e-01 -4.4917e-110 -1.6142e-107 0.0000e+00 0.0000e+00
7.9441e+03 -1.4954e-01 -1.1616e-01 -8.7245e-109 -2.9967e-106 0.0000e+00 0.0000e+00
8.0163e+03 -1.4387e-01 -9.3486e-02 -1.5232e-107 -5.0646e-105 0.0000e+00 0.0000e+00
8.0885e+03 -1.3187e-01 -7.2363e-02 -2.4200e-106 -7.8669e-104 0.0000e+00 0.0000e+00
8.1607e+03 -1.1582e-01 -5.3576e-02 -3.5336e-105 -1.1319e-102 0.0000e+00 0.0000e+00
8.2329e+03 -9.7724e-02 -3.7567e-02 -4.7805e-104 -1.5184e-101 0.0000e+00 0.0000e+00
8.3052e+03 -7.9226e-02 -2.4485e-02 -6.0330e-103 -1.9093e-100 0.0000e+00 0.0000e+00
8.3774e+03 -6.1583e-02 -1.4248e-02 -7.1427e-102 -2.2609e-99 0.0000e+00 0.0000e+00
8.4496e+03 -4.5664e-02 -6.6139e-03 -7.9725e-101 -2.5313e-98 0.0000e+00 0.0000e+00
8.5218e+03 -3.1983e-02 -1.2379e-03 -8.4244e-100 -2.6889e-97 0.0000e+00 0.0000e+00
8.5940e+03 -2.0757e-02 2.2726e-03 -8.4583e-99 -2.7181e-96 0.0000e+00 0.0000e+00
8.6662e+03 -1.1968e-02 4.3155e-03 -8.0951e-98 -2.6219e-95 0.0000e+00 0.0000e+00
8.7385e+03 -5.4309e-03 5.2634e-03 -7.4056e-97 -2.4191e-94 0.0000e+00 0.0000e+00
8.8107e+03 -8.5548e-04 5.4433e-03 -6.4921e-96 -2.1395e-93 0.0000e+00 0.0000e+00
8.8829e+03 2.0996e-03 5.1266e-03 -5.4657e-95 -1.8173e-92 0.0000e+00 0.0000e+00
8.9551e+03 3.7848e-03 4.5262e-03 -4.4279e-94 -1.4852e-91 0.0000e+00 0.0000e+00
9.0273e+03 4.5295e-03 3.8000e-03 -3.4579e-93 -1.1697e-90 0.0000e+00 0.0000e+00
9.0996e+03 4.6224e-03 3.0570e-03 -2.6072e-92 -8.8909e-90 0.0000e+00 0.0000e+00
9.1718e+03 4.3014e-03 2.3661e-03 -1.9006e-91 -6.5310e-89 0.0000e+00 0.0000e+00
9.2440e+03 3.7519e-03 1.7649e-03 -1.3413e-90 -4.6422e-88 0.0000e+00 0.0000e+00
9.3162e+03 3.1093e-03 1.2687e-03 -9.1756e-90 -3.1965e-87 0.0000e+00 0.0000e+00
9.3884e+03 2.4656e-03 8.7693e-04 -6.0903e-89 -2.1346e-86 0.0000e+00 0.0000e+00
9.4607e+03 1.8772e-03 5.8025e-04 -3.9264e-88 -1.3839e-85 0.0000e+00 0.0000e+00
9.5329e+03 1.3736e-03 3.6441e-04 -2.4609e-87 -8.7175e-85 0.0000e+00 0.0000e+00
9.6051e+03 9.6454e-04 2.1377e-04 -1.5007e-86 -5.3407e-84 0.0000e+00 0.0000e+00
9.6773e+03 6.4743e-04 1.1328e-04 -8.9114e-86 -3.1847e-83 1.5572e-117 -1.5572e-117
9.7495e+03 4.1208e-04 4.9720e-05 -5.1567e-85 -1.8499e-82 3.1170e-115 -3.1118e-115
9.8217e+03 2.4491e-04 1.2156e-05 -2.9098e-84 -1.0474e-81 3.1416e-113 -3.1317e-113
9.8940e+03 1.3162e-04 -7.9443e-06 -1.6021e-83 -5.7848e-81 2.1259e-111 -2.1165e-111
9.9662e+03 5.8900e-05 -1.6938e-05 -8.6124e-83 -3.1184e-80 1.0867e-109 -1.0807e-109
1.0038e+04 1.5308e-05 -1.9336e-05 -4.5226e-82 -1.6417e-79 4.4755e-108 -4.4464e-108
1.0111e+04 -8.3762e-06 -1.8185e-05 -2.3212e-81 -8.4448e-79 1.5468e-106 -1.5355e-106
1.0183e+04 -1.9193e-05 -1.5431e-05 -1.1649e-80 -4.2468e-78 4.6139e-105 -4.5773e-105
1.0255e+04 -2.2249e-05 -1.2231e-05 -5.7191e-80 -2.0888e-77 1.2123e-103 -1.2021e-103
1.0327e+04 -2.1062e-05 -9.2079e-06 -2.7478e-79 -1.0053e-76 2.8499e-102 -2.8247e-102
1.0399e+04 -1.7913e-05 -6.6448e-06 -1.2925e-78 -4.7355e-76 6.0671e-101 -6.0117e-101
1.0472e+04 -1.4185e-05 -4.6207e-06 -5.9539e-78 -2.1843e-75 1.1812e-99 -1.1702e-99
1.0544e+04 -1.0636e-05 -3.1055e-06 -2.6866e-77 -9.8685e-75 2.1199e-98 -2.0999e-98
1.0616e+04 -7.6175e-06 -2.0198e-06 -1.1878e-76 -4.3679e-74 3.5309e-97 -3.4973e-97
1.0688e+04 -5.2340e-06 -1.2711e-06 -5.1467e-76 -1.8944e-73 5.4887e-96 -5.4364e-96
1.0761e+04 -3.4559e-06 -7.7216e-07 -2.1857e-75 -8.0521e-73 8.0014e-95 -7.9252e-95
1.0833e+04 -2.1915e-06 -4.5039e-07 -9.0982e-75 -3.3544e-72 1.0985e-93 -1.0880e-93
1.0905e+04 -1.3305e-06 -2.4946e-07 -3.7122e-74 -1.3696e-71 1.4253e-92 -1.4119e-92
1.0977e+04 -7.6841e-07 -1.2835e-07 -1.4845e-73 -5.4804e-71 1.7537e-91 -1.7372e-91
1.1049e+04 -4.1691e-07 -5.8509e-08 -5.8174e-73 -2.1487e-70 2.0517e-90 -2.0327e-90
1.1122e+04 -2.0727e-07 -2.0803e-08 -2.2331e-72 -8.2521e-70 2.2885e-89 -2.2675e-89
1.1194e+04 -8.9020e-08 -2.6613e-09 -8.3933e-72 -3.1028e-69 2.4392e-88 -2.4169e-88
1.1266e+04 -2.6981e-08 4.1214e-09 -3.0865e-71 -1.1413e-68 2.4895e-87 -2.4669e-87
1.1338e+04 2.2335e-09 4.9301e-09 -1.1093e-70 -4.1032e-68 2.4375e-86 -2.4156e-86
1.1411e+04 1.3453e-08 3.2829e-09 -3.8914e-70 -1.4396e-67 2.2936e-85 -2.2731e-85
1.1483e+04 1.5622e-08 1.3620e-09 -1.3294e-69 -4.9188e-67 2.0774e-84 -2.0590e-84
1.1555e+04 1.3837e-08 3.0513e-10 -4.4101e-69 -1.6318e-66 1.8139e-83 -1.7979e-83
1.1627e+04 1.0793e-08 4.1721e-10 -1.4140e-68 -5.2317e-66 1.5287e-82 -1.5153e-82
