Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.0510e+02 2.8523e+00 9.2364e-02 9.9053e-08 1.8868e-06 5.1970e-07 1.6042e-07 3.7792e-07
1.0672e+02 2.8091e+00 9.5005e-02 1.1868e-07 2.2514e-06 6.0021e-07 1.9005e-07 4.3736e-07
1.0834e+02 2.7672e+00 1.0948e-01 1.3144e-07 2.4892e-06 6.4966e-07 2.0922e-07 4.7359e-07
1.0995e+02 2.7265e+00 1.0990e-01 1.1472e-07 2.1790e-06 5.8139e-07 1.8402e-07 4.2316e-07
1.1157e+02 2.6870e+00 9.9101e-02 1.0320e-07 1.9645e-06 5.3738e-07 1.6678e-07 3.9088e-07
1.1319e+02 2.6486e+00 1.0116e-01 1.1799e-07 2.2392e-06 5.9866e-07 1.8916e-07 4.3611e-07
1.1481e+02 2.6113e+00 1.1371e-01 1.2902e-07 2.4448e-06 6.4161e-07 2.0573e-07 4.6759e-07
1.1642e+02 2.5750e+00 1.1484e-01 1.1713e-07 2.2242e-06 5.9264e-07 1.8778e-07 4.3141e-07
1.1804e+02 2.5398e+00 1.0655e-01 1.0787e-07 2.0521e-06 5.5731e-07 1.7396e-07 4.0550e-07
1.1966e+02 2.5054e+00 1.0826e-01 1.1802e-07 2.2405e-06 5.9992e-07 1.8936e-07 4.3696e-07
1.2127e+02 2.4720e+00 1.1817e-01 1.2637e-07 2.3961e-06 6.3256e-07 2.0189e-07 4.6088e-07
1.2289e+02 2.4395e+00 1.1972e-01 1.1906e-07 2.2606e-06 6.0209e-07 1.9082e-07 4.3835e-07
1.2451e+02 2.4078e+00 1.1471e-01 1.1306e-07 2.1488e-06 5.7935e-07 1.8187e-07 4.2166e-07
1.2612e+02 2.3770e+00 1.1644e-01 1.1886e-07 2.2568e-06 6.0442e-07 1.9077e-07 4.4017e-07
1.2774e+02 2.3469e+00 1.2292e-01 1.2356e-07 2.3447e-06 6.2286e-07 1.9783e-07 4.5368e-07
1.2936e+02 2.3175e+00 1.2448e-01 1.2045e-07 2.2871e-06 6.0950e-07 1.9306e-07 4.4379e-07
