Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.3421e+02 2.2338e+00 3.9762e-01 6.4355e-07 1.1713e-05 2.0674e-06 9.1070e-07 1.5431e-06
1.3583e+02 2.2072e+00 4.0879e-01 6.4601e-07 1.1759e-05 2.0768e-06 9.1437e-07 1.5500e-06
1.3744e+02 2.1812e+00 4.2016e-01 6.4850e-07 1.1806e-05 2.0895e-06 9.1831e-07 1.5591e-06
1.3906e+02 2.1558e+00 4.3174e-01 6.5101e-07 1.1853e-05 2.1004e-06 9.2215e-07 1.5669e-06
1.4068e+02 2.1311e+00 4.4352e-01 6.5352e-07 1.1899e-05 2.1079e-06 9.2579e-07 1.5725e-06
1.4229e+02 2.1068e+00 4.5551e-01 6.5607e-07 1.1946e-05 2.1171e-06 9.2957e-07 1.5793e-06
1.4391e+02 2.0832e+00 4.6772e-01 6.5865e-07 1.1995e-05 2.1299e-06 9.3363e-07 1.5885e-06
1.4553e+02 2.0600e+00 4.8014e-01 6.6125e-07 1.2044e-05 2.1415e-06 9.3763e-07 1.5969e-06
1.4715e+02 2.0374e+00 4.9277e-01 6.6385e-07 1.2092e-05 2.1497e-06 9.4143e-07 1.6029e-06
1.4876e+02 2.0152e+00 5.0563e-01 6.6649e-07 1.2140e-05 2.1589e-06 9.4532e-07 1.6097e-06
1.5038e+02 1.9936e+00 5.1870e-01 6.6915e-07 1.2191e-05 2.1717e-06 9.4948e-07 1.6189e-06
1.5200e+02 1.9724e+00 5.3200e-01 6.7184e-07 1.2241e-05 2.1841e-06 9.5365e-07 1.6278e-06
1.5361e+02 1.9516e+00 5.4552e-01 6.7453e-07 1.2291e-05 2.1930e-06 9.5760e-07 1.6344e-06
1.5523e+02 1.9313e+00 5.5927e-01 6.7724e-07 1.2341e-05 2.2022e-06 9.6159e-07 1.6412e-06
1.5685e+02 1.9114e+00 5.7325e-01 6.7999e-07 1.2393e-05 2.2150e-06 9.6585e-07 1.6504e-06
1.5846e+02 1.8919e+00 5.8747e-01 6.8276e-07 1.2445e-05 2.2280e-06 9.7016e-07 1.6599e-06
1.6008e+02 1.8728e+00 6.0191e-01 6.8553e-07 1.2496e-05 2.2377e-06 9.7426e-07 1.6670e-06
1.6170e+02 1.8540e+00 6.1659e-01 6.8832e-07 1.2547e-05 2.2470e-06 9.7835e-07 1.6739e-06
1.6332e+02 1.8357e+00 6.3151e-01 6.9114e-07 1.2600e-05 2.2597e-06 9.8270e-07 1.6831e-06
1.6493e+02 1.8177e+00 6.4667e-01 6.9399e-07 1.2654e-05 2.2734e-06 9.8714e-07 1.6930e-06
1.6655e+02 1.8000e+00 6.6207e-01 6.9684e-07 1.2707e-05 2.2839e-06 9.9138e-07 1.7007e-06
1.6817e+02 1.7827e+00 6.7772e-01 6.9970e-07 1.2760e-05 2.2934e-06 9.9558e-07 1.7078e-06
1.6978e+02 1.7657e+00 6.9361e-01 7.0259e-07 1.2814e-05 2.3060e-06 1.0000e-06 1.7170e-06
1.7140e+02 1.7491e+00 7.0975e-01 7.0550e-07 1.2869e-05 2.3201e-06 1.0046e-06 1.7272e-06
1.7302e+02 1.7327e+00 7.2614e-01 7.0842e-07 1.2923e-05 2.3315e-06 1.0089e-06 1.7355e-06
1.7463e+02 1.7167e+00 7.4278e-01 7.1135e-07 1.2977e-05 2.3412e-06 1.0132e-06 1.7428e-06
1.7625e+02 1.7009e+00 7.5968e-01 7.1430e-07 1.3032e-05 2.3538e-06 1.0177e-06 1.7520e-06
1.7787e+02 1.6855e+00 7.7683e-01 7.1728e-07 1.3089e-05 2.3683e-06 1.0224e-06 1.7625e-06
1.7949e+02 1.6703e+00 7.9424e-01 7.2026e-07 1.3144e-05 2.3805e-06 1.0269e-06 1.7714e-06
1.8110e+02 1.6554e+00 8.1191e-01 7.2325e-07 1.3199e-05 2.3906e-06 1.0313e-06 1.7790e-06
1.8272e+02 1.6407e+00 8.2985e-01 7.2626e-07 1.3256e-05 2.4030e-06 1.0359e-06 1.7881e-06
1.8434e+02 1.6263e+00 8.4805e-01 7.2930e-07 1.3313e-05 2.4179e-06 1.0406e-06 1.7989e-06
1.8595e+02 1.6122e+00 8.6651e-01 7.3233e-07 1.3370e-05 2.4309e-06 1.0453e-06 1.8084e-06
1.8757e+02 1.5983e+00 8.8524e-01 7.3538e-07 1.3426e-05 2.4414e-06 1.0498e-06 1.8163e-06
1.8919e+02 1.5846e+00 9.0424e-01 7.3844e-07 1.3483e-05 2.4538e-06 1.0544e-06 1.8254e-06
1.9080e+02 1.5712e+00 9.2351e-01 7.4152e-07 1.3541e-05 2.4689e-06 1.0592e-06 1.8363e-06
1.9242e+02 1.5580e+00 9.4306e-01 7.4461e-07 1.3599e-05 2.4826e-06 1.0639e-06 1.8464e-06
1.9404e+02 1.5450e+00 9.6288e-01 7.4770e-07 1.3656e-05 2.4937e-06 1.0685e-06 1.8546e-06
1.9565e+02 1.5323e+00 9.8297e-01 7.5080e-07 1.3714e-05 2.5060e-06 1.0732e-06 1.8637e-06
1.9727e+02 1.5197e+00 1.0033e+00 7.5393e-07 1.3773e-05 2.5212e-06 1.0781e-06 1.8748e-06
1.9889e+02 1.5073e+00 1.0240e+00 7.5706e-07 1.3832e-05 2.5356e-06 1.0829e-06 1.8854e-06
2.0051e+02 1.4952e+00 1.0449e+00 7.6019e-07 1.3890e-05 2.5473e-06 1.0876e-06 1.8940e-06
2.0212e+02 1.4832e+00 1.0661e+00 7.6333e-07 1.3949e-05 2.5595e-06 1.0923e-06 1.9031e-06
2.0374e+02 1.4714e+00 1.0876e+00 7.6649e-07 1.4008e-05 2.5748e-06 1.0973e-06 1.9143e-06
2.0536e+02 1.4599e+00 1.1094e+00 7.6965e-07 1.4068e-05 2.5899e-06 1.1022e-06 1.9253e-06
2.0697e+02 1.4485e+00 1.1315e+00 7.7281e-07 1.4127e-05 2.6021e-06 1.1070e-06 1.9344e-06
2.0859e+02 1.4372e+00 1.1539e+00 7.7598e-07 1.4186e-05 2.6144e-06 1.1117e-06 1.9435e-06
2.1021e+02 1.4262e+00 1.1765e+00 7.7917e-07 1.4246e-05 2.6297e-06 1.1167e-06 1.9547e-06
2.1182e+02 1.4153e+00 1.1994e+00 7.8236e-07 1.4306e-05 2.6453e-06 1.1217e-06 1.9661e-06
2.1344e+02 1.4046e+00 1.2227e+00 7.8554e-07 1.4366e-05 2.6582e-06 1.1265e-06 1.9756e-06
2.1506e+02 1.3940e+00 1.2462e+00 7.8873e-07 1.4425e-05 2.6706e-06 1.1313e-06 1.9848e-06
2.1668e+02 1.3836e+00 1.2700e+00 7.9193e-07 1.4485e-05 2.6857e-06 1.1363e-06 1.9959e-06
2.1829e+02 1.3734e+00 1.2941e+00 7.9514e-07 1.4546e-05 2.7018e-06 1.1414e-06 2.0077e-06
2.1991e+02 1.3633e+00 1.3185e+00 7.9834e-07 1.4606e-05 2.7153e-06 1.1463e-06 2.0177e-06
2.2153e+02 1.3533e+00 1.3432e+00 8.0154e-07 1.4665e-05 2.7278e-06 1.1511e-06 2.0270e-06
2.2314e+02 1.3435e+00 1.3682e+00 8.0475e-07 1.4726e-05 2.7429e-06 1.1561e-06 2.0380e-06
2.2476e+02 1.3338e+00 1.3935e+00 8.0797e-07 1.4787e-05 2.7593e-06 1.1612e-06 2.0500e-06
2.2638e+02 1.3243e+00 1.4191e+00 8.1118e-07 1.4847e-05 2.7735e-06 1.1662e-06 2.0605e-06
2.2799e+02 1.3149e+00 1.4450e+00 8.1438e-07 1.4907e-05 2.7862e-06 1.1710e-06 2.0699e-06
2.2961e+02 1.3057e+00 1.4712e+00 8.1759e-07 1.4967e-05 2.8011e-06 1.1760e-06 2.0809e-06
2.3123e+02 1.2965e+00 1.4977e+00 8.2081e-07 1.5029e-05 2.8178e-06 1.1811e-06 2.0930e-06
2.3285e+02 1.2875e+00 1.5245e+00 8.2402e-07 1.5089e-05 2.8325e-06 1.1861e-06 2.1039e-06
2.3446e+02 1.2786e+00 1.5516e+00 8.2721e-07 1.5148e-05 2.8454e-06 1.1910e-06 2.1135e-06
2.3608e+02 1.2699e+00 1.5790e+00 8.3041e-07 1.5209e-05 2.8602e-06 1.1960e-06 2.1244e-06
2.3770e+02 1.2612e+00 1.6067e+00 8.3362e-07 1.5270e-05 2.8770e-06 1.2011e-06 2.1366e-06
2.3931e+02 1.2527e+00 1.6347e+00 8.3681e-07 1.5330e-05 2.8924e-06 1.2061e-06 2.1479e-06
2.4093e+02 1.2443e+00 1.6630e+00 8.3999e-07 1.5390e-05 2.9055e-06 1.2110e-06 2.1577e-06
2.4255e+02 1.2360e+00 1.6915e+00 8.4317e-07 1.5450e-05 2.9201e-06 1.2160e-06 2.1684e-06
2.4416e+02 1.2278e+00 1.7204e+00 8.4636e-07 1.5510e-05 2.9370e-06 1.2211e-06 2.1807e-06
2.4578e+02 1.2198e+00 1.7496e+00 8.4953e-07 1.5571e-05 2.9528e-06 1.2261e-06 2.1924e-06
2.4740e+02 1.2118e+00 1.7791e+00 8.5269e-07 1.5630e-05 2.9663e-06 1.2310e-06 2.2024e-06
2.4902e+02 1.2039e+00 1.8089e+00 8.5584e-07 1.5689e-05 2.9807e-06 1.2359e-06 2.2130e-06
2.5063e+02 1.1961e+00 1.8390e+00 8.5899e-07 1.5749e-05 2.9975e-06 1.2410e-06 2.2253e-06
2.5225e+02 1.1885e+00 1.8694e+00 8.6213e-07 1.5809e-05 3.0138e-06 1.2460e-06 2.2372e-06
2.5387e+02 1.1809e+00 1.9001e+00 8.6525e-07 1.5868e-05 3.0277e-06 1.2509e-06 2.2474e-06
2.5548e+02 1.1734e+00 1.9311e+00 8.6836e-07 1.5926e-05 3.0418e-06 1.2558e-06 2.2579e-06
2.5710e+02 1.1661e+00 1.9624e+00 8.7148e-07 1.5986e-05 3.0586e-06 1.2608e-06 2.2701e-06
2.5872e+02 1.1588e+00 1.9940e+00 8.7457e-07 1.6045e-05 3.0752e-06 1.2658e-06 2.2823e-06
2.6033e+02 1.1516e+00 2.0259e+00 8.7765e-07 1.6103e-05 3.0894e-06 1.2707e-06 2.2927e-06
2.6195e+02 1.1445e+00 2.0580e+00 8.8071e-07 1.6161e-05 3.1034e-06 1.2755e-06 2.3031e-06
2.6357e+02 1.1374e+00 2.0905e+00 8.8377e-07 1.6219e-05 3.1199e-06 1.2805e-06 2.3151e-06
2.6519e+02 1.1305e+00 2.1232e+00 8.8682e-07 1.6278e-05 3.1369e-06 1.2854e-06 2.3275e-06
2.6680e+02 1.1237e+00 2.1563e+00 8.8984e-07 1.6335e-05 3.1514e-06 1.2902e-06 2.3382e-06
2.6842e+02 1.1169e+00 2.1896e+00 8.9284e-07 1.6392e-05 3.1653e-06 1.2950e-06 2.3485e-06
2.7004e+02 1.1102e+00 2.2232e+00 8.9584e-07 1.6449e-05 3.1815e-06 1.2999e-06 2.3603e-06
2.7165e+02 1.1036e+00 2.2571e+00 8.9882e-07 1.6507e-05 3.1987e-06 1.3048e-06 2.3728e-06
