Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
3.4280e+04 5.2857e-01 1.2490e-01 -1.3415e-02 1.3887e-01 3.5334e-02 1.6944e-01
3.4665e+04 -1.6781e-01 -3.6128e-01 8.4106e-02 2.6660e-01 8.4200e-02 1.3561e-01
3.5050e+04 -7.7966e-01 -6.6490e-01 1.4012e-01 2.6258e-01 9.1404e-02 3.1261e-02
3.5435e+04 -9.9881e-01 -6.3301e-01 1.2621e-01 1.2769e-01 5.3148e-02 -9.2702e-02
3.5820e+04 -7.1486e-01 -2.8198e-01 4.8882e-02 -7.1812e-02 -1.1707e-02 -1.7356e-01
3.6206e+04 -7.0846e-02 2.1100e-01 -5.3378e-02 -2.3667e-01 -7.0879e-02 -1.6874e-01
3.6591e+04 6.0885e-01 5.9736e-01 -1.2930e-01 -2.8417e-01 -9.4790e-02 -7.8202e-02
3.6976e+04 9.8188e-01 6.8239e-01 -1.4063e-01 -1.8987e-01 -7.1443e-02 5.4348e-02
3.7361e+04 8.6034e-01 4.2332e-01 -8.1467e-02 -3.1387e-04 -1.2445e-02 1.6255e-01
3.7746e+04 3.0546e-01 -4.9114e-02 1.8777e-02 1.9011e-01 5.2833e-02 1.9065e-01
3.8131e+04 -4.0328e-01 -4.9658e-01 1.1003e-01 2.8625e-01 9.1929e-02 1.2243e-01
3.8517e+04 -9.0889e-01 -6.9337e-01 1.4654e-01 2.3977e-01 8.5375e-02 -9.3412e-03
3.8902e+04 -9.5670e-01 -5.4035e-01 1.0973e-01 7.3288e-02 3.6276e-02 -1.3831e-01
3.9287e+04 -5.2263e-01 -1.1501e-01 1.7580e-02 -1.3063e-01 -3.1210e-02 -1.9808e-01
3.9672e+04 1.7469e-01 3.6780e-01 -8.4071e-02 -2.7028e-01 -8.3653e-02 -1.5689e-01
4.0057e+04 7.8401e-01 6.6456e-01 -1.4417e-01 -2.7528e-01 -9.4742e-02 -3.5042e-02
4.0442e+04 9.9844e-01 6.2603e-01 -1.3199e-01 -1.4196e-01 -5.8394e-02 1.0485e-01
4.0828e+04 7.0996e-01 2.7230e-01 -5.2928e-02 6.3907e-02 7.8414e-03 1.9034e-01
4.1213e+04 6.3883e-02 -2.1784e-01 5.3643e-02 2.3920e-01 7.1027e-02 1.7736e-01
4.1598e+04 -6.1437e-01 -5.9746e-01 1.3383e-01 2.9484e-01 9.9072e-02 7.3461e-02
4.1983e+04 -9.8318e-01 -6.7594e-01 1.4653e-01 2.0128e-01 7.7084e-02 -6.6502e-02
4.2368e+04 -8.5676e-01 -4.1449e-01 8.4656e-02 4.6399e-03 1.5470e-02 -1.6977e-01
4.2753e+04 -2.9881e-01 5.4869e-02 -2.0681e-02 -1.9569e-01 -5.4784e-02 -1.8404e-01
4.3139e+04 4.0966e-01 4.9607e-01 -1.1585e-01 -2.9732e-01 -9.7695e-02 -1.0411e-01
4.3524e+04 9.1178e-01 6.8760e-01 -1.5217e-01 -2.4758e-01 -9.0893e-02 2.6778e-02
4.3909e+04 9.5465e-01 5.3351e-01 -1.1098e-01 -7.1246e-02 -3.7466e-02 1.4068e-01
4.4294e+04 5.1667e-01 1.1137e-01 -1.3328e-02 1.4177e-01 3.5376e-02 1.8036e-01
4.4679e+04 -1.8155e-01 -3.6675e-01 9.0913e-02 2.8254e-01 9.0290e-02 1.2784e-01
4.5064e+04 -7.8833e-01 -6.6058e-01 1.4872e-01 2.7917e-01 9.9124e-02 1.2041e-02
4.5450e+04 -9.9803e-01 -6.2233e-01 1.3094e-01 1.3366e-01 5.7414e-02 -1.0724e-01
4.5835e+04 -7.0503e-01 -2.7099e-01 4.6955e-02 -7.9478e-02 -1.3437e-02 -1.7006e-01
4.6220e+04 -5.6917e-02 2.1693e-01 -6.0434e-02 -2.5167e-01 -7.7288e-02 -1.4605e-01
4.6605e+04 6.1987e-01 5.9597e-01 -1.3689e-01 -2.9574e-01 -1.0177e-01 -4.8839e-02
4.6990e+04 9.8443e-01 6.7521e-01 -1.4399e-01 -1.8988e-01 -7.4634e-02 7.1656e-02
4.7375e+04 8.5314e-01 4.1452e-01 -7.8436e-02 1.1790e-02 -9.8090e-03 1.5466e-01
4.7761e+04 2.9214e-01 -5.5018e-02 2.6485e-02 2.0703e-01 5.9827e-02 1.5897e-01
4.8146e+04 -4.1601e-01 -4.9707e-01 1.1779e-01 2.9724e-01 9.9075e-02 8.3250e-02
4.8531e+04 -9.1462e-01 -6.8903e-01 1.4948e-01 2.3708e-01 8.8153e-02 -3.3778e-02
4.8916e+04 -9.5255e-01 -5.3416e-01 1.0569e-01 5.7209e-02 3.2655e-02 -1.3315e-01
4.9301e+04 -5.1068e-01 -1.1030e-01 8.6684e-03 -1.5135e-01 -3.9277e-02 -1.6537e-01
