Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
7.6807e-07 3.9032e+08 7.1147e-03 2.8138e-02 3.0216e-03 4.1364e-03 1.6318e-02 1.3231e-01
7.7817e-07 3.8525e+08 4.5176e-01 1.8389e-03 9.7766e-03 2.2601e-02 2.3507e-02 1.7055e-01
7.8828e-07 3.8031e+08 1.0332e+00 5.2527e-03 1.3515e-02 3.0952e-02 1.2574e-02 6.6629e-02
7.9839e-07 3.7550e+08 5.9066e-01 9.8677e-03 9.5369e-03 1.8912e-02 7.6468e-04 5.2362e-03
8.0849e-07 3.7080e+08 7.6033e-03 2.4503e-03 2.3977e-03 6.7306e-03 4.4145e-03 1.2247e-01
8.1860e-07 3.6623e+08 4.4968e-01 4.2911e-02 1.2950e-04 6.9365e-03 1.3356e-02 2.6761e-01
8.2870e-07 3.6176e+08 1.0360e+00 1.6301e-01 3.7232e-03 8.9804e-03 1.0739e-02 2.3428e-01
8.3881e-07 3.5740e+08 5.9608e-01 2.6842e-01 6.9991e-03 4.3786e-03 2.3771e-03 7.7560e-02
8.4892e-07 3.5315e+08 8.1194e-03 2.4167e-01 5.7057e-03 5.2836e-04 6.2682e-03 6.1275e-03
8.5902e-07 3.4899e+08 4.4766e-01 1.1025e-01 2.1016e-03 4.2035e-03 2.1696e-02 5.9201e-02
8.6913e-07 3.4493e+08 1.0390e+00 1.3615e-02 2.8498e-04 1.1982e-02 2.9218e-02 9.4109e-02
8.7923e-07 3.4097e+08 6.0162e-01 1.5937e-02 9.2530e-04 2.0957e-02 1.9555e-02 4.5361e-02
8.8934e-07 3.3710e+08 8.6635e-03 4.7427e-02 1.9896e-03 3.1268e-02 5.0847e-03 1.1693e-03
8.9945e-07 3.3331e+08 4.4570e-01 3.6456e-02 2.0561e-03 3.6371e-02 1.9048e-04 2.3048e-02
9.0955e-07 3.2960e+08 1.0421e+00 5.6162e-03 1.2588e-03 2.8109e-02 4.0626e-03 5.5785e-02
9.1966e-07 3.2598e+08 6.0728e-01 5.5382e-03 3.7318e-04 1.2337e-02 7.9637e-03 4.9460e-02
9.2976e-07 3.2244e+08 9.2358e-03 2.8913e-02 2.5385e-04 3.1253e-03 9.1231e-03 4.2713e-02
9.3987e-07 3.1897e+08 4.4380e-01 3.7327e-02 1.4371e-03 2.3945e-03 1.0497e-02 7.7516e-02
9.4998e-07 3.1558e+08 1.0454e+00 2.5341e-02 3.4679e-03 2.4797e-03 1.2948e-02 1.2278e-01
9.6008e-07 3.1226e+08 6.1307e-01 1.3567e-02 4.9946e-03 5.7625e-03 1.4531e-02 1.3001e-01
9.7019e-07 3.0900e+08 9.8369e-03 8.5748e-03 4.9345e-03 2.0266e-02 1.4906e-02 1.0314e-01
9.8030e-07 3.0582e+08 4.4196e-01 6.7833e-03 3.3811e-03 3.6633e-02 1.5282e-02 7.5676e-02
9.9040e-07 3.0270e+08 1.0489e+00 1.7665e-02 1.4626e-03 3.4032e-02 1.5152e-02 6.2600e-02
1.0005e-06 2.9964e+08 6.1899e-01 5.0864e-02 6.2623e-04 1.3377e-02 1.3254e-02 6.2759e-02
1.0106e-06 2.9664e+08 1.0467e-02 9.0041e-02 1.7153e-03 1.1629e-03 1.1143e-02 7.4892e-02
1.0207e-06 2.9371e+08 4.4019e-01 1.0327e-01 4.1533e-03 1.1865e-02 1.1574e-02 8.8181e-02
1.0308e-06 2.9083e+08 1.0525e+00 7.8128e-02 6.2086e-03 2.7361e-02 1.3024e-02 8.1223e-02
1.0409e-06 2.8800e+08 6.2504e-01 3.5624e-02 6.4978e-03 2.4958e-02 1.0592e-02 4.9674e-02
1.0510e-06 2.8523e+08 1.1127e-02 9.0901e-03 5.0300e-03 8.6933e-03 4.2249e-03 2.0751e-02
1.0611e-06 2.8252e+08 4.3848e-01 1.0361e-02 2.7135e-03 3.9975e-06 8.2991e-04 2.5153e-02
1.0713e-06 2.7985e+08 1.0563e+00 1.7914e-02 6.6234e-04 9.3207e-03 4.1096e-03 5.8790e-02
1.0814e-06 2.7724e+08 6.3123e-01 8.9628e-03 2.6303e-04 2.7887e-02 7.6575e-03 8.3928e-02
1.0915e-06 2.7467e+08 1.1817e-02 2.0492e-03 2.5010e-03 3.9482e-02 5.1303e-03 7.6054e-02
1.1016e-06 2.7215e+08 4.3683e-01 3.8112e-02 6.1036e-03 3.3880e-02 2.4872e-03 6.2478e-02
1.1117e-06 2.6968e+08 1.0602e+00 1.0605e-01 7.6336e-03 1.7602e-02 9.4177e-03 8.9050e-02
1.1218e-06 2.6725e+08 6.3756e-01 1.3013e-01 5.2020e-03 1.4703e-02 2.0935e-02 1.4218e-01
1.1319e-06 2.6486e+08 1.2538e-02 7.1619e-02 1.3409e-03 4.4613e-02 2.1539e-02 1.4726e-01
1.1420e-06 2.6252e+08 4.3524e-01 5.9716e-03 1.8968e-04 9.4161e-02 9.9512e-03 7.9330e-02
1.1521e-06 2.6021e+08 1.0643e+00 3.6390e-02 2.1660e-03 1.2414e-01 4.5851e-03 2.8292e-02
1.1622e-06 2.5795e+08 6.4404e-01 1.4800e-01 3.6806e-03 1.1021e-01 1.7060e-02 8.6369e-02
1.1723e-06 2.5573e+08 1.3291e-02 2.1840e-01 2.4003e-03 6.6808e-02 3.3966e-02 2.0189e-01
1.1824e-06 2.5354e+08 4.3371e-01 1.7683e-01 4.1736e-04 2.6001e-02 3.6083e-02 2.3535e-01
1.1925e-06 2.5139e+08 1.0686e+00 8.6225e-02 1.0314e-03 4.9449e-03 2.4619e-02 1.5544e-01
1.2026e-06 2.4928e+08 6.5066e-01 4.7098e-02 4.2660e-03 4.8655e-04 1.5041e-02 8.0430e-02
1.2127e-06 2.4720e+08 1.4075e-02 7.6513e-02 7.3436e-03 3.4076e-03 1.3227e-02 1.0266e-01
1.2228e-06 2.4516e+08 4.3224e-01 1.1409e-01 8.4664e-03 8.0610e-03 1.2491e-02 1.6704e-01
1.2329e-06 2.4315e+08 1.0731e+00 1.0874e-01 8.1402e-03 1.3790e-02 9.0157e-03 1.7065e-01
1.2431e-06 2.4117e+08 6.5744e-01 6.6568e-02 7.1790e-03 2.2082e-02 5.8085e-03 1.0513e-01
1.2532e-06 2.3923e+08 1.4892e-02 3.2677e-02 5.5163e-03 2.9028e-02 3.9611e-03 3.9756e-02
1.2633e-06 2.3732e+08 4.3083e-01 4.4161e-02 3.5546e-03 2.4323e-02 2.5718e-03 1.8693e-02
1.2734e-06 2.3543e+08 1.0778e+00 8.9827e-02 2.9785e-03 8.0654e-03 4.8849e-03 3.4929e-02
1.2835e-06 2.3358e+08 6.6438e-01 1.1772e-01 4.7605e-03 2.3601e-03 1.2876e-02 6.8515e-02
1.2936e-06 2.3175e+08 1.5742e-02 9.9874e-02 7.0214e-03 2.7220e-02 1.8910e-02 9.8507e-02
1.3037e-06 2.2996e+08 4.2948e-01 7.2542e-02 6.5733e-03 6.6912e-02 1.4922e-02 1.0188e-01
1.3138e-06 2.2819e+08 1.0827e+00 7.9597e-02 3.0635e-03 8.3592e-02 6.6899e-03 7.9074e-02
1.3239e-06 2.2645e+08 6.7147e-01 1.0040e-01 3.0875e-04 6.7065e-02 6.2020e-03 6.0246e-02
1.3340e-06 2.2473e+08 1.6625e-02 8.7222e-02 2.1691e-03 4.4954e-02 1.2816e-02 6.2884e-02
1.3441e-06 2.2304e+08 4.2820e-01 5.3334e-02 7.4607e-03 3.6569e-02 1.5426e-02 6.9805e-02
1.3542e-06 2.2138e+08 1.0877e+00 5.2539e-02 1.0647e-02 2.7532e-02 1.0807e-02 6.4795e-02
1.3643e-06 2.1974e+08 6.7873e-01 8.1709e-02 8.4157e-03 7.4192e-03 5.7806e-03 5.6026e-02
1.3744e-06 2.1812e+08 1.7544e-02 9.0057e-02 4.4446e-03 2.4212e-03 3.3330e-03 5.0016e-02
1.3845e-06 2.1653e+08 4.2697e-01 8.8753e-02 6.0189e-03 3.9864e-02 1.1352e-03 4.0301e-02
1.3946e-06 2.1496e+08 1.0930e+00 1.4875e-01 1.5820e-02 9.7876e-02 1.9774e-03 3.4059e-02
1.4048e-06 2.1341e+08 6.8617e-01 2.5872e-01 2.8218e-02 1.2369e-01 1.0232e-02 4.8445e-02
1.4149e-06 2.1189e+08 1.8498e-02 2.9241e-01 3.4290e-02 9.6549e-02 1.9206e-02 7.0921e-02
1.4250e-06 2.1039e+08 4.2581e-01 1.8355e-01 3.0021e-02 4.5748e-02 1.7961e-02 6.9401e-02
1.4351e-06 2.0890e+08 1.0984e+00 4.4334e-02 1.9218e-02 9.8515e-03 9.7022e-03 4.8831e-02
1.4452e-06 2.0744e+08 6.9377e-01 2.3461e-02 9.0952e-03 4.2832e-03 6.8378e-03 4.5150e-02
1.4553e-06 2.0600e+08 1.9488e-02 1.1277e-01 4.0825e-03 2.8117e-02 9.3765e-03 5.8549e-02
1.4654e-06 2.0458e+08 4.2471e-01 1.8892e-01 4.0937e-03 7.3744e-02 7.3159e-03 5.6535e-02
1.4755e-06 2.0318e+08 1.1040e+00 1.9462e-01 7.5455e-03 1.1987e-01 3.6302e-03 5.0558e-02
1.4856e-06 2.0180e+08 7.0156e-01 1.7142e-01 1.3895e-02 1.3655e-01 1.2288e-02 9.1719e-02
1.4957e-06 2.0044e+08 2.0515e-02 1.4331e-01 2.1935e-02 1.1243e-01 3.0453e-02 1.6865e-01
1.5058e-06 1.9909e+08 4.2367e-01 8.6915e-02 2.7042e-02 6.7672e-02 3.6325e-02 1.9243e-01
1.5159e-06 1.9776e+08 1.1099e+00 2.2174e-02 2.3630e-02 3.0931e-02 2.1785e-02 1.2283e-01
1.5260e-06 1.9645e+08 7.0954e-01 2.1507e-02 1.2226e-02 1.2116e-02 5.0160e-03 3.5557e-02
1.5361e-06 1.9516e+08 2.1580e-02 9.3189e-02 1.8144e-03 4.2911e-03 1.5667e-03 1.6014e-02
1.5462e-06 1.9388e+08 4.2270e-01 1.4348e-01 1.4379e-03 2.4854e-03 4.3313e-03 5.0971e-02
1.5563e-06 1.9263e+08 1.1160e+00 1.0395e-01 9.4471e-03 8.8850e-03 3.0588e-03 7.5886e-02
