Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.5200e+02 1.9724e+00 5.3200e-01 5.2841e-11 4.6830e-05 2.1820e-07 8.5832e-06 4.7299e-06
1.5361e+02 1.9516e+00 5.4552e-01 4.6877e-11 4.7087e-05 2.2296e-07 8.6349e-06 4.7437e-06
1.5523e+02 1.9313e+00 5.5927e-01 6.2368e-11 4.7264e-05 2.2270e-07 8.6608e-06 4.7808e-06
1.5685e+02 1.9114e+00 5.7325e-01 7.5512e-11 4.7405e-05 2.2087e-07 8.7040e-06 4.8229e-06
1.5846e+02 1.8919e+00 5.8747e-01 6.6116e-11 4.7626e-05 2.2399e-07 8.7757e-06 4.8425e-06
1.6008e+02 1.8728e+00 6.0191e-01 5.7254e-11 4.7895e-05 2.2922e-07 8.8339e-06 4.8556e-06
1.6170e+02 1.8540e+00 6.1659e-01 7.2310e-11 4.8091e-05 2.2971e-07 8.8630e-06 4.8914e-06
1.6332e+02 1.8357e+00 6.3151e-01 8.9315e-11 4.8234e-05 2.2767e-07 8.9038e-06 4.9362e-06
1.6493e+02 1.8177e+00 6.4667e-01 8.1666e-11 4.8448e-05 2.3021e-07 8.9762e-06 4.9597e-06
1.6655e+02 1.8000e+00 6.6207e-01 6.9869e-11 4.8725e-05 2.3580e-07 9.0407e-06 4.9727e-06
1.6817e+02 1.7827e+00 6.7772e-01 8.3755e-11 4.8941e-05 2.3712e-07 9.0737e-06 5.0068e-06
1.6978e+02 1.7657e+00 6.9361e-01 1.0469e-10 4.9089e-05 2.3500e-07 9.1126e-06 5.0539e-06
1.7140e+02 1.7491e+00 7.0975e-01 9.9669e-11 4.9294e-05 2.3691e-07 9.1848e-06 5.0816e-06
1.7302e+02 1.7327e+00 7.2614e-01 8.5075e-11 4.9576e-05 2.4272e-07 9.2553e-06 5.0950e-06
1.7463e+02 1.7167e+00 7.4278e-01 9.6997e-11 4.9812e-05 2.4491e-07 9.2931e-06 5.1272e-06
1.7625e+02 1.7009e+00 7.5968e-01 1.2175e-10 4.9967e-05 2.4285e-07 9.3304e-06 5.1761e-06
1.7787e+02 1.6855e+00 7.7683e-01 1.2030e-10 5.0163e-05 2.4410e-07 9.4017e-06 5.2082e-06
1.7949e+02 1.6703e+00 7.9424e-01 1.0324e-10 5.0448e-05 2.4999e-07 9.4778e-06 5.2225e-06
1.8110e+02 1.6554e+00 8.1191e-01 1.1239e-10 5.0703e-05 2.5307e-07 9.5211e-06 5.2527e-06
1.8272e+02 1.6407e+00 8.2985e-01 1.4066e-10 5.0867e-05 2.5122e-07 9.5573e-06 5.3028e-06
1.8434e+02 1.6263e+00 8.4805e-01 1.4371e-10 5.1055e-05 2.5180e-07 9.6270e-06 5.3393e-06
1.8595e+02 1.6122e+00 8.6651e-01 1.2473e-10 5.1338e-05 2.5764e-07 9.7081e-06 5.3552e-06
1.8757e+02 1.5983e+00 8.8524e-01 1.3032e-10 5.1610e-05 2.6159e-07 9.7575e-06 5.3833e-06
1.8919e+02 1.5846e+00 9.0424e-01 1.6160e-10 5.1787e-05 2.6011e-07 9.7934e-06 5.4341e-06
1.9080e+02 1.5712e+00 9.2351e-01 1.7006e-10 5.1966e-05 2.6006e-07 9.8610e-06 5.4751e-06
1.9242e+02 1.5580e+00 9.4306e-01 1.4993e-10 5.2245e-05 2.6568e-07 9.9462e-06 5.4930e-06
1.9404e+02 1.5450e+00 9.6288e-01 1.5125e-10 5.2533e-05 2.7048e-07 1.0002e-05 5.5193e-06
1.9565e+02 1.5323e+00 9.8297e-01 1.8481e-10 5.2724e-05 2.6952e-07 1.0039e-05 5.5701e-06
1.9727e+02 1.5197e+00 1.0033e+00 1.9951e-10 5.2897e-05 2.6889e-07 1.0104e-05 5.6154e-06
1.9889e+02 1.5073e+00 1.0240e+00 1.7922e-10 5.3167e-05 2.7417e-07 1.0192e-05 5.6360e-06
2.0051e+02 1.4952e+00 1.0449e+00 1.7567e-10 5.3468e-05 2.7975e-07 1.0255e-05 5.6605e-06
